ID,Date,Product,Region,Store_Type,Price,Discount,Marketing_Spend,Sales,no of units sold,season
130,09-05-2020,Refrigerator,North,Online,24104.04,0.25,4351.89,49986.036,2,Summer
131,10-05-2020,Air_Conditioner,North,Online,24743.46,0.21,4525.51,45247.608,2,Summer
132,11-05-2020,Ceiling_Fan,South,Retail,46717.73,0.06,3419.3,344993.796,7,Summer
133,12-05-2020,Water_Purifier,East,Online,35855.82,0.13,3764.26,76366.728,2,Summer
134,13-05-2020,Air_Conditioner,North,Online,76079.96,0.16,2971.49,658267.704,9,Summer
135,14-05-2020,Refrigerator,West,Retail,14477.76,0.15,2229.93,146738.16,10,Summer
136,15-05-2020,Ceiling_Fan,South,Retail,78026.91,0.06,3416.53,378209.448,5,Summer
137,16-05-2020,Washing_Machine,South,Retail,22297.9,0.32,4587.3,92486.148,4,Summer
138,17-05-2020,Water_Purifier,West,Online,62965.55,0.27,2375.06,408443.928,6,Summer
139,18-05-2020,Air_Conditioner,North,Retail,30422.74,0.17,1914.85,285871.524,9,Summer
140,19-05-2020,Refrigerator,East,Online,15731.1,0.24,2247.97,129792.924,8,Summer
141,20-05-2020,Washing_Machine,North,Online,69341.69,0.31,2459.29,87174.588,1,Summer
142,21-05-2020,Washing_Machine,West,Retail,28164.57,0.05,831.02,80964.036,3,Summer
143,22-05-2020,Microwave,South,Retail,54414.16,0.09,2742.99,462965.532,9,Summer
144,23-05-2020,Ceiling_Fan,East,Retail,47483.28,0.19,2724.41,332308.74,7,Summer
145,24-05-2020,Air_Conditioner,South,Retail,40381.72,0.28,3148,76721.544,2,Summer
146,25-05-2020,Refrigerator,West,Retail,42186.46,0.01,2132.69,276577.572,7,Summer
147,26-05-2020,Microwave,North,Online,59917.84,0.34,3258.98,380936.46,6,Summer
148,27-05-2020,Ceiling_Fan,East,Online,11582.97,0.16,4451.97,34665.264,3,Summer
149,28-05-2020,Microwave,South,Online,55113.55,0.13,4799.62,508732.164,9,Summer
150,29-05-2020,Water_Purifier,South,Retail,72185.91,0.1,3126.25,115128.276,2,Summer
151,30-05-2020,Ceiling_Fan,South,Online,9334.11,0.06,691.66,84649.596,9,Summer
152,31-05-2020,Ceiling_Fan,North,Retail,15549,0.28,4861.56,87892.404,6,Summer
153,01-06-2020,Air_Conditioner,East,Retail,58747.4,0.33,3676.38,181222.944,3,Monsoon
154,02-06-2020,Ceiling_Fan,North,Online,37796.12,0.14,2011.84,292089.228,8,Monsoon
155,03-06-2020,Microwave,North,Online,35266.15,0.33,1162.21,228002.676,6,Monsoon
156,04-06-2020,Ceiling_Fan,North,Retail,15272.5,0.29,1145.38,122380.644,8,Monsoon
157,05-06-2020,Air_Conditioner,West,Online,43007.75,0.17,1254.85,184620.756,4,Monsoon
158,06-06-2020,Air_Conditioner,West,Retail,14490.9,0.24,705.08,94811.424,7,Monsoon
159,07-06-2020,Water_Purifier,West,Online,40746.53,0.15,4559.69,266971.98,7,Monsoon
160,08-06-2020,Microwave,East,Online,62271.15,0.2,2933.46,342353.112,5,Monsoon
161,09-06-2020,Washing_Machine,North,Online,24369.83,0.02,3649.82,258324.288,11,Monsoon
162,10-06-2020,Washing_Machine,North,Online,41058.96,0.24,4226.49,38513.196,1,Monsoon
163,11-06-2020,Ceiling_Fan,West,Online,79401.2,0.02,4061.93,330457.416,4,Monsoon
164,12-06-2020,Water_Purifier,North,Retail,56498.78,0.29,4471.73,281336.232,5,Monsoon
165,13-06-2020,Refrigerator,North,Online,68101.76,0.29,4852.65,151128.204,2,Monsoon
166,14-06-2020,Ceiling_Fan,South,Online,36113.57,0.08,2475.82,365634.072,10,Monsoon
167,15-06-2020,Water_Purifier,North,Online,62589.57,0.11,4776.51,456445.968,7,Monsoon
168,16-06-2020,Microwave,South,Retail,8038.19,0.17,3754.8,42439.584,5,Monsoon
169,17-06-2020,Microwave,North,Retail,14218.34,0.21,818.01,112311.168,8,Monsoon
170,18-06-2020,Microwave,East,Retail,20230.29,0.1,3568.02,110510.256,5,Monsoon
171,19-06-2020,Microwave,West,Retail,35146.39,0.21,3590.22,200841.492,6,Monsoon
172,20-06-2020,Microwave,South,Retail,68430.87,0.1,4576.37,75735.156,1,Monsoon
173,21-06-2020,Water_Purifier,West,Online,30969.95,0.02,2178.19,156292.152,5,Monsoon
174,22-06-2020,Water_Purifier,South,Online,54096.59,0,3132.1,146003.292,3,Monsoon
175,23-06-2020,Air_Conditioner,South,Online,58198.57,0.04,554.84,483204.816,8,Monsoon
176,24-06-2020,Washing_Machine,South,Retail,48963.68,0.28,1994.34,224690.1,5,Monsoon
177,25-06-2020,Microwave,East,Retail,31793.15,0.34,780.1,93564.948,3,Monsoon
178,26-06-2020,Refrigerator,North,Online,48279,0.15,2848.43,256588.44,5,Monsoon
179,27-06-2020,Water_Purifier,South,Retail,30669.92,0.18,4178.51,87117.36,3,Monsoon
180,28-06-2020,Refrigerator,East,Retail,11290.53,0.05,1428.99,120034.02,11,Monsoon
181,29-06-2020,Refrigerator,South,Retail,79460.3,0.19,2873.48,114752.796,1,Monsoon
182,30-06-2020,Refrigerator,North,Online,14538.68,0.05,1418.04,145665.636,10,Monsoon
183,01-07-2020,Air_Conditioner,South,Online,10426.13,0.21,1043.1,46143.56,4,Monsoon
184,02-07-2020,Water_Purifier,East,Retail,70889.81,0.33,2799.49,312074.48,4,Monsoon
185,03-07-2020,Refrigerator,North,Retail,27637.6,0.07,856.17,95703.73,3,Monsoon
186,04-07-2020,Microwave,East,Retail,53772.27,0.27,3143.1,380772.38,7,Monsoon
187,05-07-2020,Ceiling_Fan,North,Retail,29675.43,0.01,641.02,103902.35,4,Monsoon
188,06-07-2020,Refrigerator,North,Online,34359.07,0.13,980.22,188319.13,5,Monsoon
189,07-07-2020,Air_Conditioner,West,Retail,24658.47,0.04,2974.99,235318.75,10,Monsoon
190,08-07-2020,Water_Purifier,West,Online,30728.3,0.12,3161.33,241471.2,8,Monsoon
191,09-07-2020,Air_Conditioner,West,Online,35802.53,0.06,630.44,196103,5,Monsoon
192,10-07-2020,Refrigerator,North,Online,59031.21,0.13,3080.2,509122.49,9,Monsoon
193,11-07-2020,Water_Purifier,South,Retail,43365.21,0.15,4273.26,269535.57,6,Monsoon
194,12-07-2020,Ceiling_Fan,East,Online,75767.39,0.11,3750.42,194092.59,3,Monsoon
195,13-07-2020,Refrigerator,East,Online,8141.03,0.23,1090.33,29151.25,4,Monsoon
196,14-07-2020,Air_Conditioner,East,Retail,42730.12,0.32,3166.14,116529.28,3,Monsoon
197,15-07-2020,Washing_Machine,West,Retail,48816.86,0.14,3525.14,171965.5,4,Monsoon
198,16-07-2020,Microwave,North,Retail,74014.77,0.07,667.54,539939.26,7,Monsoon
199,17-07-2020,Air_Conditioner,West,Online,8686.89,0.09,4349.06,49472.82,6,Monsoon
200,18-07-2020,Water_Purifier,South,Retail,48012.47,0.3,4578.2,45130.96,1,Monsoon
201,19-07-2020,Refrigerator,North,Online,69022.24,0.2,4327.04,491274.7,7,Monsoon
202,20-07-2020,Microwave,East,Online,23144.58,0.16,4210.84,71372.77,3,Monsoon
203,21-07-2020,Refrigerator,West,Retail,70721.93,0.05,3852.34,670089.59,9,Monsoon
204,22-07-2020,Water_Purifier,West,Online,6428.26,0.16,3350.44,51771.16,8,Monsoon
205,23-07-2020,Refrigerator,South,Online,59934.1,0.1,3553.82,510536.57,9,Monsoon
206,24-07-2020,Washing_Machine,South,Online,74983.49,0.33,4128.78,416990.65,6,Monsoon
207,25-07-2020,Microwave,West,Online,54289.82,0.31,3481.24,111837.51,2,Monsoon
208,26-07-2020,Microwave,South,Retail,37927.19,0.03,1974.77,213146.4,6,Monsoon
209,27-07-2020,Water_Purifier,East,Online,8366.08,0.18,2191.82,20709,2,Monsoon
210,28-07-2020,Washing_Machine,South,Retail,74008.54,0.08,4536.76,227214.56,3,Monsoon
211,29-07-2020,Air_Conditioner,South,Online,40272.22,0.14,577.05,225072.04,6,Monsoon
212,30-07-2020,Refrigerator,West,Online,7174.76,0.31,3644.69,6769.93,1,Monsoon
213,31-07-2020,Ceiling_Fan,West,Retail,56736.58,0.18,4796.5,452451.77,8,Monsoon
214,01-08-2020,Refrigerator,North,Online,41137.79,0.12,3678.03,335515.35,8,Monsoon
215,02-08-2020,Refrigerator,North,Online,14325.9,0.07,4972.6,58980.08,4,Monsoon
216,03-08-2020,Air_Conditioner,West,Online,21070.39,0.28,3593.95,85544.47,4,Monsoon
217,04-08-2020,Refrigerator,South,Online,9836.8,0.22,654.63,39860.27,4,Monsoon
218,05-08-2020,Washing_Machine,South,Online,48072.02,0.16,4221.54,360993.48,8,Monsoon
219,06-08-2020,Washing_Machine,North,Online,51652.21,0.08,1780.83,342021.49,7,Monsoon
220,07-08-2020,Microwave,North,Retail,42930.67,0.12,2507.26,132339.85,3,Monsoon
221,08-08-2020,Water_Purifier,North,Retail,66282.66,0.34,1904.41,219676.45,3,Monsoon
222,09-08-2020,Ceiling_Fan,East,Retail,69575.66,0.18,1708.49,277312.5,4,Monsoon
223,10-08-2020,Refrigerator,East,Online,51171.83,0.14,2441.33,423971.62,8,Monsoon
224,11-08-2020,Refrigerator,North,Online,5956.74,0.18,2204.38,12591.32,2,Monsoon
225,12-08-2020,Air_Conditioner,South,Online,57142.22,0.27,3350.02,75342.96,1,Monsoon
226,13-08-2020,Water_Purifier,North,Retail,36349.94,0.12,4159.18,285510.65,8,Monsoon
227,14-08-2020,Washing_Machine,East,Online,47416.81,0.06,1836.9,404273.99,9,Monsoon
228,15-08-2020,Ceiling_Fan,South,Retail,53681.05,0.2,1461.75,379875.1,7,Monsoon
229,16-08-2020,Microwave,East,Online,31267.75,0.23,3501.03,134797.46,4,Monsoon
230,17-08-2020,Washing_Machine,South,Online,73782.39,0.25,3516.44,383910.06,5,Monsoon
231,18-08-2020,Water_Purifier,East,Online,15048.12,0.31,4555.09,63028.82,4,Monsoon
232,19-08-2020,Microwave,South,Retail,55363.39,0.13,571.76,78271.46,1,Monsoon
233,20-08-2020,Air_Conditioner,South,Online,5326.97,0.03,4338.68,32876.13,6,Monsoon
234,21-08-2020,Air_Conditioner,South,Retail,74348.83,0.34,2844.51,55082.67,1,Monsoon
235,22-08-2020,Refrigerator,South,Online,13437.81,0.15,3295.86,44830.6,3,Monsoon
236,23-08-2020,Water_Purifier,West,Online,12116.32,0.22,911.17,88748.33,7,Monsoon
237,24-08-2020,Ceiling_Fan,East,Retail,29975.57,0.23,2446.77,86240.73,3,Monsoon
238,25-08-2020,Microwave,East,Online,33017.47,0.19,1522.86,252957.94,8,Monsoon
239,26-08-2020,Washing_Machine,West,Online,21072.51,0.07,1644.01,63715.29,3,Monsoon
240,27-08-2020,Water_Purifier,South,Online,48884.12,0.26,2768.43,138585.72,3,Monsoon
241,28-08-2020,Water_Purifier,South,Online,38218.56,0.28,4156.05,183146.42,5,Monsoon
242,29-08-2020,Air_Conditioner,East,Retail,7563.17,0.19,3847.01,48118.86,6,Monsoon
243,30-08-2020,Refrigerator,West,Retail,28973.9,0.17,3159.5,132566.22,5,Monsoon
244,31-08-2020,Refrigerator,South,Online,65782.47,0.04,2927.38,564510.92,9,Monsoon
245,01-09-2020,Microwave,South,Online,56727.62,0.03,2422.88,74954.14,1,Monsoon
246,02-09-2020,Air_Conditioner,South,Retail,59365.31,0.12,4877.19,485832.82,8,Monsoon
247,03-09-2020,Water_Purifier,North,Online,57358.77,0.11,3020.87,141241.7,2,Monsoon
248,04-09-2020,Ceiling_Fan,West,Retail,28322.98,0.33,1642.85,169993.38,6,Monsoon
249,05-09-2020,Air_Conditioner,South,Online,12474.79,0.27,1535.41,41961.09,3,Monsoon
250,06-09-2020,Microwave,North,Retail,25435.04,0.23,3251.09,166370.76,7,Monsoon
251,07-09-2020,Microwave,West,Retail,67383.9,0.18,2852.72,389269.5,6,Monsoon
252,08-09-2020,Air_Conditioner,South,Retail,78535.31,0.06,534.64,190720.35,2,Monsoon
253,09-09-2020,Microwave,East,Retail,42038.53,0.34,4235.29,256990.05,6,Monsoon
254,10-09-2020,Air_Conditioner,North,Online,5727.53,0.13,3668.55,15993.56,3,Monsoon
255,11-09-2020,Washing_Machine,North,Online,15503.36,0.04,3478.23,47585.56,3,Monsoon
256,12-09-2020,Air_Conditioner,South,Retail,29156.04,0.17,809.51,201524.11,7,Monsoon
257,13-09-2020,Air_Conditioner,South,Retail,48393.9,0.31,2129.25,65209.47,1,Monsoon
258,14-09-2020,Microwave,North,Retail,10632.02,0.31,4709.22,21995.98,2,Monsoon
259,15-09-2020,Microwave,East,Retail,75751.8,0,4381.65,419142.15,6,Monsoon
260,16-09-2020,Refrigerator,East,Online,32381.28,0.31,1784.94,189341.84,6,Monsoon
261,17-09-2020,Refrigerator,West,Retail,73443.82,0.1,1206.76,153836.91,2,Monsoon
262,18-09-2020,Washing_Machine,South,Retail,63539.14,0.01,2520.9,372957.21,6,Monsoon
263,19-09-2020,Refrigerator,East,Retail,61657.8,0.3,2101.24,319437.7,5,Monsoon
264,20-09-2020,Air_Conditioner,West,Retail,50503.97,0.3,3570.02,309172.67,6,Monsoon
265,21-09-2020,Microwave,East,Retail,52008.79,0.21,4848.96,387042.71,7,Monsoon
266,22-09-2020,Refrigerator,South,Retail,52850.24,0.2,2133.51,340852.73,6,Monsoon
267,23-09-2020,Refrigerator,West,Retail,52154.1,0.28,780.01,258179.9,5,Monsoon
268,24-09-2020,Washing_Machine,West,Online,46529.62,0.28,4539.26,164242.96,4,Monsoon
269,25-09-2020,Water_Purifier,West,Retail,78981.05,0.31,670.77,109483.85,1,Monsoon
270,26-09-2020,Washing_Machine,East,Retail,59921.79,0.19,4787.45,358571.04,6,Monsoon
271,27-09-2020,Air_Conditioner,South,Retail,63270.98,0.34,3490.61,414858.93,7,Monsoon
272,28-09-2020,Microwave,West,Online,70434.71,0.35,4737.6,349359.65,5,Monsoon
273,29-09-2020,Washing_Machine,North,Online,21172.98,0.04,1398.47,23383.1,1,Monsoon
274,30-09-2020,Refrigerator,South,Online,11285.31,0.3,683.15,43182.54,4,Monsoon
275,01-10-2020,Microwave,North,Retail,41217.08,0.17,2696.94,290491.11,7,Post-Monsoon
276,02-10-2020,Microwave,North,Retail,43556.05,0.14,2527.81,350952.953,8,Post-Monsoon
277,03-10-2020,Refrigerator,West,Retail,67188.63,0.21,1991.72,515970.104,8,Post-Monsoon
278,04-10-2020,Washing_Machine,West,Online,38283.77,0.02,4809.45,293761.754,8,Post-Monsoon
279,05-10-2020,Refrigerator,East,Retail,47813.98,0.18,4201.63,153431.187,3,Post-Monsoon
280,06-10-2020,Water_Purifier,East,Online,44530.32,0.3,3477.12,384146.295,9,Post-Monsoon
281,07-10-2020,Microwave,East,Online,7865.21,0.07,1232.86,69130.698,9,Post-Monsoon
282,08-10-2020,Ceiling_Fan,South,Online,51141.12,0.15,3804.46,176967.414,3,Post-Monsoon
283,09-10-2020,Ceiling_Fan,East,Online,67103.25,0.33,3771.56,227995.43,3,Post-Monsoon
284,10-10-2020,Air_Conditioner,North,Online,16812.54,0.15,2412.81,172724.812,10,Post-Monsoon
285,11-10-2020,Refrigerator,East,Retail,49574.88,0.13,4661.54,503914.359,10,Post-Monsoon
286,12-10-2020,Refrigerator,West,Retail,49520.79,0.15,1251.4,254248.709,5,Post-Monsoon
287,13-10-2020,Air_Conditioner,East,Online,17313.87,0.18,1703.02,24819.769,1,Post-Monsoon
288,14-10-2020,Air_Conditioner,South,Retail,14259.77,0.22,784.51,20770.594,1,Post-Monsoon
289,15-10-2020,Air_Conditioner,South,Retail,78503.9,0.28,4079.53,261239.602,3,Post-Monsoon
